2024-06-10T18:56:41.783Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.784Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.785Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.786Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.787Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.788Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.789Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.790Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.791Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.792Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.793Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.794Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.796Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.797Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.798Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.800Z [error] 'pechka' createSession failure! Error: ClientTCP_transport314: socket has been disconnected by third party
2024-06-10T18:56:41.800Z [error] 'pechka' try to connect error! Error: ClientTCP_transport314: socket has been disconnected by third party
2024-06-10T18:56:41.926Z [error] 'pechka' connect error! undefined (2)
2024-06-10T18:56:46.449Z [info] 'pechka' connection
2024-06-10T18:56:46.451Z [error] 'pechka' connection lost!
2024-06-10T18:56:46.453Z [error] 'pechka' connection lost!
2024-06-10T18:56:46.454Z [error] 'pechka' connection lost!
2024-06-10T18:56:46.455Z [error] 'pechka' connection lost!
2024-06-10T18:56:46.457Z [error] 'pechka' connection lost!
2024-06-10T18:56:46.458Z [error] 'pechka' connection lost!
2024-06-10T18:56:46.460Z [error] 'pechka' connection lost!
2024-06-10T18:56:46.461Z [error] 'pechka' connection lost!
2024-06-10T18:56:46.462Z [error] 'pechka' connection lost!
2024-06-10T18:56:46.463Z [error] 'pechka' connection lost!
2024-06-10T18:56:46.464Z [error] 'pechka' connection lost!
2024-06-10T18:56:46.466Z [error] 'pechka' connection lost!
2024-06-10T18:56:46.467Z [error] 'pechka' connection lost!
2024-06-10T18:56:46.468Z [error] 'pechka' connection lost!
2024-06-10T18:56:46.469Z [error] 'pechka' connection lost!
2024-06-10T18:56:46.471Z [error] 'pechka' connection lost!
2024-06-10T18:56:46.472Z [error] 'pechka' connection lost!
2024-06-10T18:56:46.473Z [error] 'pechka' connection lost!
2024-06-10T18:56:46.474Z [error] 'pechka' connection lost!
2024-06-10T18:56:46.476Z [error] 'pechka' connection lost!
2024-06-10T18:56:46.478Z [error] 'pechka' connection lost!
2024-06-10T18:56:46.479Z [error] 'pechka' connection lost!
2024-06-10T18:56:46.480Z [error] 'pechka' connection lost!
2024-06-10T18:56:46.481Z [error] 'pechka' connection lost!
2024-06-10T18:56:46.482Z [error] 'pechka' connection lost!
2024-06-10T18:56:46.484Z [error] 'pechka' connection lost!
